url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/project44/jobs/7757786	2026-04-07	project44 — websearch	Sr Analyst, Data Science	project44	added
https://job-boards.greenhouse.io/project44/jobs/7553734	2026-04-07	project44 — websearch	Supply Chain Data Analyst	project44	added
https://job-boards.greenhouse.io/project44opportunities/jobs/7700442	2026-04-07	project44 — websearch	Managed Services, Data Analyst	project44	added
https://job-boards.greenhouse.io/fourkites/jobs/6896212	2026-04-07	FourKites — websearch	Senior Business Intelligence Analyst	FourKites	added
https://job-boards.greenhouse.io/fourkites/jobs/7597775	2026-04-07	FourKites — websearch	Senior Analytics Engineer - AI	FourKites	added
https://job-boards.greenhouse.io/fourkites/jobs/6710350	2026-04-07	FourKites — websearch	Staff Data Scientist	FourKites	added
https://job-boards.greenhouse.io/fourkites/jobs/7089300	2026-04-07	FourKites — websearch	Principal Data Scientist	FourKites	skipped_title
https://job-boards.greenhouse.io/flexport/jobs/6602737	2026-04-07	Flexport — websearch	Supply Chain Optimization Analyst	Flexport	added
https://job-boards.greenhouse.io/flexport/jobs/7392508	2026-04-07	Flexport — websearch	Data Analytics Lead	Flexport	added
https://job-boards.greenhouse.io/flexport/jobs/6115075	2026-04-07	Flexport — websearch	Business Intelligence Analyst	Flexport	added
https://job-boards.greenhouse.io/flexport/jobs/6983084	2026-04-07	Flexport — websearch	Product Data Analyst II	Flexport	added
https://job-boards.greenhouse.io/flexport/jobs/5913931	2026-04-07	Flexport — websearch	Analytics Engineer II	Flexport	added
https://job-boards.greenhouse.io/flexport/jobs/7446808	2026-04-07	Flexport — websearch	Customs Partner Analyst	Flexport	skipped_title
https://careers.snowflake.com/us/en/job/SNCOUS0EE905A4B48147D6AA41364BF39DA77DEXTERNALENUS77757B5ECA1B4D7F87810D69FD87E252/Analytics-Engineer-Finance	2026-04-07	Snowflake — websearch	Analytics Engineer, Finance	Snowflake	added
https://careers.snowflake.com/us/en/job/SNCOUSF8879D817E4F46BFBB854B675139D416EXTERNALENUSF3B260A0088348E59F87DE6D675ED529/Senior-Analytics-Engineer-AI-Applications	2026-04-07	Snowflake — websearch	Senior Analytics Engineer - AI Applications	Snowflake	added
https://careers.snowflake.com/us/en/job/7097079002/Analytics-Engineer-Senior-Analytics-Engineer	2026-04-07	Snowflake — websearch	Analytics Engineer / Senior Analytics Engineer	Snowflake	skipped_title
https://job-boards.greenhouse.io/inspire11/jobs/7658481002	2026-04-07	Greenhouse — Data Analyst Chicago	Data Analyst	Inspire11	added
https://job-boards.greenhouse.io/beyondfinance/jobs/7252170	2026-04-07	Greenhouse — Data Analyst Chicago	Senior Data Analyst	Beyond Finance	added
https://job-boards.greenhouse.io/ninjatrader/jobs/4603854006	2026-04-07	Greenhouse — Data Analyst Chicago	Data Analyst	NinjaTrader	added
https://job-boards.greenhouse.io/8451/jobs/8476935002	2026-04-07	Greenhouse — Data Analyst Chicago	Senior Data Analyst	84.51°	added
https://job-boards.greenhouse.io/stratacareers/jobs/7568085003	2026-04-07	Greenhouse — Data Analyst Chicago	Data Analyst	Strata Decision	added
https://job-boards.greenhouse.io/adyen/jobs/7181026	2026-04-07	Greenhouse — Data Analyst Chicago	Optimization Data Analyst	Adyen	added
https://job-boards.greenhouse.io/grafanalabs/jobs/5850008004	2026-04-07	Greenhouse — Analytics Engineer	Senior Analytics Engineer	Grafana Labs	added
https://job-boards.greenhouse.io/mavenclinic/jobs/7630084002	2026-04-07	Greenhouse — Analytics Engineer	Senior Analytics Engineer	Maven Clinic	added
https://job-boards.greenhouse.io/mavenclinic/jobs/7804200002	2026-04-07	Greenhouse — Analytics Engineer	Lead Analytics Engineer	Maven Clinic	added
https://job-boards.greenhouse.io/engine/jobs/7643367003	2026-04-07	Greenhouse — Analytics Engineer	Staff Analytics Engineer	Engine	added
https://job-boards.greenhouse.io/faire/jobs/8470854002	2026-04-07	Greenhouse — Supply Chain Analyst	Lead Supply Chain Analyst	Faire	added
https://job-boards.greenhouse.io/shipbobinc/jobs/4634231005	2026-04-07	Greenhouse — Supply Chain Analyst	Supply Chain Data Analyst	ShipBob	added
https://job-boards.greenhouse.io/shipbobinc/jobs/4660109005	2026-04-07	Greenhouse — Supply Chain Analyst	Staff Supply Chain Data Analyst	ShipBob	added
https://job-boards.greenhouse.io/everagtester/jobs/5134872008	2026-04-07	Greenhouse — Supply Chain Analyst	Supply Chain Analyst	Ever.Ag	added
https://boards.greenhouse.io/weee/jobs/5959606003	2026-04-07	Greenhouse — Supply Chain Analyst	Supply Chain Analyst II	Weee!	added
https://job-boards.greenhouse.io/wolt/jobs/6864437	2026-04-07	Greenhouse — Supply Chain Analyst	Supply Chain Analyst	Wolt	added
https://job-boards.greenhouse.io/fictiv/jobs/8379862002	2026-04-07	Greenhouse — Supply Chain Analyst	Supply Chain Analyst	Fictiv	added
https://job-boards.greenhouse.io/weee/jobs/7218325003	2026-04-07	Greenhouse — Supply Chain Analyst	Senior Supply Chain Analyst, Network Planning and Optimization	Weee!	added
https://job-boards.greenhouse.io/opploans/jobs/7643812003	2026-04-07	Greenhouse — Business Intelligence	Senior Analyst, Business Intelligence	OppFi	added
https://job-boards.greenhouse.io/thesciongroupllc/jobs/8437716002	2026-04-07	Greenhouse — Business Intelligence	Business Intelligence Analyst	The Scion Group	added
https://boards.greenhouse.io/openly/jobs/4340737005	2026-04-07	Greenhouse — Business Intelligence	Senior Business Intelligence Analyst	Openly	added
https://boards.greenhouse.io/samsara/jobs/7587205	2026-04-07	Greenhouse — Operations Analyst	Sales Operations Analyst	Samsara	added
https://boards.greenhouse.io/samsara/jobs/7597161	2026-04-07	Greenhouse — Operations Analyst	Senior Sales Operations Analyst	Samsara	added
https://jobs.lever.co/Obie/d38c2e43-150a-4af1-95fd-3bc190df534a	2026-04-07	Lever — Data Analyst Chicago	Lead Data Analyst	Obie	added
https://jobs.lever.co/synapticure/aa57a67c-acfa-418e-b3c6-2ab84c68e743	2026-04-07	Lever — Data Analyst Chicago	Staff Data Analyst	SynaptiCure	added
https://jobs.lever.co/loadsmart/4ae481b6-41de-4924-b6e0-159575f9df2e	2026-04-07	Lever — Data Analyst Chicago	Senior Business Data Analyst, Brokerage	Loadsmart	added
https://jobs.lever.co/luxurypresence/5556e042-a64a-4cff-9261-b57c28f89260	2026-04-07	Lever — Analytics Engineer	Senior Analytics Engineer	Luxury Presence	added
